Question,Answer
how do you explain root partition,root partition is where the operating system kernel is located it also contains other potentially important system files that are mounted during boot time
what do you mean by a cycle or a circuit,a path which originates and ends in the same node is called a cycle or circuit
what is algorithm design,algorithm design refers to a method or mathematical process for problemsolving and engineering algorithm
how do you explain dynamic time wrapping,measure similarity between two sequences which may vary in time or speed
what is a socket,a socket is used to make connection between two applications endpoints of the connection are called socket
define the order of growth of the bubble sort algorithm,the bubble sort algorithm has a quadratic order of growth
what do you mean by topological sort,a topological sort or topological ordering of a directed graph is a linear ordering of its vertices such that for every directed edge uv from vertex u to vertex v u comes before v in the ordering
what is polygon triangularisation,decompose a polygon into a set of triangles
what is children of tree,children of a node the roots of the subtrees of a node are called the children of the node in figure 7 and 3 are children of node 1
define nonlinear data structures,nonlinear data structures are data structures that dont have a linear relationship between its adjacent elements but have a hierarchical relationship between the elements eg trees and graphs
explain the main purpose of an operating system,operating systems exist for two main purposes one is that it is designed to make sure a computer system performs well by managing its computational activities another is that it provides an environment for the development and execution of programs
how do you explain binary search algorithm,locates an item in a sorted sequence
what is cantorzassenhaus algorithm,factor polynomials over finite fields
define degree of a node,degree of a node the number of subtrees of a node is called the degree of a node
how do you explain topological sort,finds linear order of nodes eg jobs based on their dependencies
what is binary search algorithm,locates an item in a sorted sequence
what do you mean by rich salz wildcat,a widely used opensource recursive algorithm
what do you mean by double hashing,double hashing is an open addressing collision resolution strategy in which fiihash2x this formula says that we apply a second hash function to x and probe at a distance hash2x 2hash2x and so on a function such as hash2xrxmodr with r a prime smaller than tablesize
what is rounding functions,the principal nth root of a positive real number a is the positive real solution of the equation
how do you classify algorithm by design paradigm,is a generic method or approach which underlies the design of a class of algorithms
define user data,modifiable part of user space may include program data user stack area and programs that may be modified
what is sweep line algorithm,plane sweep algorithm is an algorithmic paradigm that uses a conceptual sweep line or sweep surface to solve various problems in euclidean space
what is the worst case performance of selection sort,the worst case performance of selection sort is on2
define division algorithms,for computing quotient andor remainder of two numbers
how do you explain smp,to achieve maximum efficiency and reliability a mode of operation known as symmetric multiprocessing is used in essence with smp any process or threads can be assigned to any processor
define kirkpatrickseidel algorithm,is an algorithm for computing the convex hull of a set of points in the plane
what are voronoi diagrams,geometric dual of delaunay triangulation
define fragmentation,fragmentation is a phenomenon of memory wastage it reduces the capacity and performance because space is used inefficiently
what do you mean by nth root algorithm,the principal root of a positive real number a is the positive real solution of the equation
what is linear interpolation,a method of curve fitting using linear polynomials
what is nearest neighbour algorithm,the nearest neighbour algorithm was one of the first algorithms used to determine a solution to the travelling salesman problem
how do you explain the best case performance of selection sort,the best case performance of selection sort is on2
how do you explain fortunes algorithm,to create voronoi diagram
what do you mean by the worst case performance of selection sort,the worst case performance of selection sort is on2
state the main difference between logical from physical address space,logical address refers to the address that is generated by the cpu on the other hand physical address refers to the address that is seen by the memory unit
how do you explain quick select,quickselect is a selection algorithm to find the kth smallest element in an unordered list
what do you mean by substring search,stringsearching algorithms sometimes called stringmatching algorithms are an important class of string algorithms that try to find a place where one or several strings also called patterns are found within a larger string or text
how do you explain best case performance of bubble sort algorithm,the best case performance of bubble sort algorithm is on
what do you mean by tree sort,build binary tree then traverse it to create sorted list
how do you explain euler method,eulers method is a numerical method to solve first order first degree differential equation with a given initial value it is the most basic explicit method for numerical integration of ordinary differential equations and is the simplest rungekutta method
list out the disadvantages of using a linked list,searching a particular element in a list is difficult and time consuminga linked list will use more storage space than an array to store the same number of elements
define a deque,deque doubleended queue is another form of a queue in which insertions and deletions are made at both the front and rear ends of the queue there are two variations of a deque namely input restricted deque and output restricted deque the input restricted deque allows insertion at one end it can be either front or rear only the output restricted deque allows deletion at one end it can be either front or rear only
what is maximal cliques,a maximal clique is a clique that cannot be extended by including one more adjacent vertex
define forest,a tree may be defined as a forest in which only a single node root has no predecessors any forest consists of a collection of trees
what do you mean by tarjans offline lowest common ancestors algorithm,compute lowest common ancestors for pairs of nodes in a tree
explain process,a process is a program that is running and under execution on batch systems it is called as a job while on time sharing systems it is called as a task
define exhaustive search,this is the naive method of trying every possible solution to see which is best
what do you mean by wait time,this is the time that a process spends for its turn to get executed
define an edge,edge a link from the parent to the child node is referred to as edge it is also known as a branch a tree with n nodes has n1 edges
define schreiersims algorithms,computing a base and strong generating set bsgs of a permutation group
define the difference between internal commands and external commands,internal commands are the builtin part of the operating system while external commands are the separate file programs that are stored in a separate folder or directory
define algorithm design pattern,techniques for designing and implementing algorithm designs are also called algorithm design patterns
define a spanning tree,a spanning tree is a tree associated with a network all the nodes of the graph appear on the tree once a minimum spanning tree is a spanning tree organized so that the total edge weight between nodes is minimized
how do you explain edmondsedmondskara algorithm,implementation of fordfulkerson
what do you mean by randomised algorithms,such algorithms make some choices randomly or pseudorandomly they can be very useful in finding approximate solutions for problems
how do you explain tarjans strongly connected componets algorithms,tarjans algorithm is an algorithm in graph theory for finding the strongly connected components of a directed graph
how do you explain the data structures used to perform recursion,stack because of its lifo last in first out property it remembers its caller so knows whom to return when the function has to return recursion makes use of system stack for storing the return addresses of the function calls every recursive function has its equivalent iterative nonrecursive function even when such equivalent iterative procedures are written explicit stack is to be used
what do you mean by graceful degradation,it is the ability to continue providing service proportional to level of hardwaresystems designed for graceful degradation are called fault tolerantif we have several processors connected together then failure of one would not stop the systemthen the entire system runs only 10 slowerthis leads to increased reliability of the system
what do you mean by semaphore,semaphore is a variable whose status reports common resource semaphore is of two types one is binary semaphore and other is counting semaphore
define unrestricted algorithm,an unrestricted algorithm is an algorithm for the computation of a mathematical function that puts no restrictions on the range of the argument or on the precision that may be demanded in the result
how do you explain the worst case scenario for bubble sort and why,the worst situation for bubble sort is when the lists smallest element is in the last position in this situation the smallest element will move down one place on each pass through the list meaning that the sort will need to make the maximum number of passes through the list namely n 1
what do you mean by addition chain exponentiation,the classic ways to round numbers
give an example of rabbit problem in bubble sort,array 6 1 2 3 4 5 is almost sorted but it takes on iterations to sort it element 6 is a rabbit
define pollards kangaroo algorithm,an algorithm for solving the discrete logarithm problem
define the best case efficiency of binary search,the best case efficiency of binary search is o1
how do you explain toddcoxeter algorithm,procedure for generating cosets
define the difference between logical address space and physical address space,logical address space specifies the address that is generated by cpu on the other hand physical address space specifies the address that is seen by the memory unit
what are the disadvantages of linear list,we cannot reach any of the nodes that precede node p if a list is traversed the external pointer to the list must be persevered in order to reference the list again
define primary data structures,primary data structures are the basic data structures that directly operate upon the machine instructions all the basic constants integers floatingpoint numbers character constants string constants and pointers are considered as primary data structures
define splay tree,a splay tree is a binary search tree in which restructuring is done using a scheme called splay the splay is a heuristic method which moves a given vertex v to the root of the splay tree using a sequence of rotations
how do you explain load sharing,processes are not assigned to a particular processor a global queue of threads is maintained each processor when idle selects a thread from this queue note that load balancing refers to a scheme where work is allocated to processors on a more permanent basis
how do you explain depth of a tree,depth of a tree the maximum number of levels in a tree is called the depth of a tree in other words depth of a tree is one more than maximum level of the tree the depth of a tree in above figure is 4
what is a spanning tree,a spanning tree is a tree associated with a network all the nodes of the graph appear on the tree once a minimum spanning tree is a spanning tree organized so that the total edge weight between nodes is minimized
how do you explain introselect,introselect short for introspective selection is a selection algorithm that is a hybrid of quickselect and median of medians which has fast average performance and optimal worstcase
what is cycle stealing,we encounter cycle stealing in the context of direct memory access dma either the dma controller can use the data bus when the cpu does not need it or it may force the cpu to temporarily suspend operation the latter technique is called cycle stealing note that cycle stealing can be done only at specific break points in an instruction cycle
binary searches can be done on an arrayyesno,yes
what do you mean by ftdisk,it is a fault tolerance disk driver for windows nt
how do you explain the purpose of an io status information,io status information provides information about which io devices are to be allocated for a particular process it also shows which files are opened and other io device state
define preemptive multitasking,preemptive multitasking allows an operating system to switch between software programs this in turn allows multiple programs to run without necessarily taking complete control over the processor and resulting in system crashes
define fragmentation tell about different types of fragmentation,when many of free blocks are too small to satisfy any request then fragmentation occurs external fragmentation and internal fragmentation are two types of fragmentation external fragmentation happens when a dynamic memory allocation algorithm allocates some memory and a small piece is left over that cannot be effectively used internal fragmentation is the space wasted inside of allocated memory blocks because of restriction on the allowed sizes of allocated blocks
how do you explain schonhagestrassen algorithm,the schnhagestrassen algorithm is an asymptotically fast multiplication algorithm for large integers
define user data,modifiable part of user space may include program data user stack area and programs that may be modified
how do you explain bogosort,it is a highly ineffective sorting algorithm based on the generate and test paradigm the function successively generates permutations of its input until it finds one that is sorted it is not useful for sorting but may be used for educational purposes to contrast it with more efficient algorithms
what is fragmentation,fragmentation is a phenomenon of memory wastage it reduces the capacity and performance because space is used inefficiently
state the rules to be followed during infix to postfix conversions,fully parenthesize the expression starting from left to right during parenthesizing the operators having higher precedence are first parenthesizedmove the operators one by one to their right such that each operator replaces their corresponding right parenthesis the part of the expression which has been converted into postfix is to be treated as single operand once the expression is converted into postfix form remove all parenthesis
what do you mean by microkernel,it is kernel with a limited service that is with some important services runningexample qnxrealtime os
define reversedelete algorithm,the reversedelete algorithm is an algorithm in graph theory used to obtain a minimum spanning tree from a given connected edgeweighted graph
how do you explain exhaustive search,this is the naive method of trying every possible solution to see which is best
list out few of the application of tree datastructure,the manipulation of arithmetic expression symbol table construction syntax analysis
what is nearest neighbour search,the arbitrarily oriented minimum bounding box is the minimum bounding box calculated subject to no constraints as to the orientation of the result
what is user data,modifiable part of user space may include program data user stack area and programs that may be modified
what do you mean by a simple graph,a simple graph is a graph which has not more than one edge between a pair of nodes than such a graph is called a simple graph
what are steps for preorder traversing a binary tree,the steps for preorder traversing a binary tree is as followsvisit the root traverse the left subtreetraverse the right subtree
what do you mean by dedicated processor assignment,provides implicit scheduling defined by assignment of threads to processors for the duration of program execution each program is allocated a set of processors equal in number to the number of threads in the program processors are chosen from the available pool
define warnsdorffs rule,warnsdorfs rule is a heuristic for finding a knights tour
what do you mean by a process,an executing program is known as process there are two types of processesoperating system processesuser processes
how do you explain quick sort algorithm,quicksort sometimes called partitionexchange sort is an on log n efficient sorting algorithm serving as a systematic method for placing the elements of an array in order
what is tarjans strongly connected componets algorithms,tarjans algorithm is an algorithm in graph theory for finding the strongly connected components of a directed graph
what are the disadvantages of circular list,we cant traverse the list backwardif a pointer to a node is given we cannot delete the node
what is the main purpose of an operating system,there are two main purposes of an operating systemit is designed to make sure that a computer system performs well by managing its computational activitiesit provides an environment for the development and execution of programs
what is rr scheduling algorithm,rr roundrobin scheduling algorithm is primarily aimed for timesharing systems a circular queue is a setup in such a way that the cpu scheduler goes around that queue allocating cpu to each process for a time interval of up to around 10 to 100 milliseconds
how do you explain cliques,a clique klik or klk is a subset of vertices of an undirected graph such that every two distinct vertices in the clique are adjacent that is its induced subgraph is complete
define hybrid kernel,it combines the aspect of both monolithic as well as a microkernelexample microsoft nt kernel
what is an edge,edge a link from the parent to the child node is referred to as edge it is also known as a branch a tree with n nodes has n1 edges
explain the concept of reentrancy,it is a useful memorysaving technique for multiprogrammed timesharing systems a reentrant procedure is one in which multiple users can share a single copy of a program during the same period reentrancy has 2 key aspects the program code cannot modify itself and the local data for each user process must be stored separately thus the permanent part is the code and the temporary part is the pointer back to the calling program and local variables used by that program
define a folder in ubuntu,there is no concept of folder in ubuntu everything included in your hardware is a file
what is shell sort,an attempt to improve insertion sort
what is addition chain exponentiation,the classic ways to round numbers
how do you explain an assembler,an assembler acts as a translator for low level language assembly codes written using mnemonic commands are translated by the assembler into machine language
when does the condition rendezvous arise,in message passing it is the condition in which both the sender and receiver are blocked until the message is delivered
what is bubble sort,for each pair of indices swap the items if out of order
what is long term scheduler,long term scheduler determines which programs are admitted to the system for processing it controls the degree of multiprogramming once admitted a job becomes a process
what do you mean by the term percolate up,to insert an element we have to create a hole in the next available heap location inserting an element in the hole would sometimes violate the heap order property so we have to slide down the parent into the hole this strategy is continued until the correct location for the new element is found this general strategy is known as a percolate up the new element is percolated up the heap until the correct location is found
when is a graph said to be weakly connected,when a directedgraph is not strongly connected but the underlying graph is connected then the graph is said to be weakly connected
define cubic interpolation,in numerical analysis a cubic hermite spline or cubic hermite interpolator is a spline where each piece is a thirddegree polynomial specified in hermite form1 that is by its values and first derivatives at the end points of the corresponding domain interval
what do you mean by smp,to achieve maximum efficiency and reliability a mode of operation known as symmetric multiprocessing is used in essence with smp any process or threads can be assigned to any processor
what do you mean by linked list,linked list is one of the fundamental data structures it consists of a sequence of nodes each containing arbitrary data fields and one or two links pointing to the next andor previous nodes a linked list is a selfreferential datatype because it contains a pointer or link to another data of the same type linked lists permit insertion and removal of nodes at any point in the list in constant time but do not allow random access
name two algorithms two find minimum spanning tree,kruskals algorithmprims algorithm
define collision detection,check for the collision or intersection of two given solids
define multitasking,multitasking is the process within an operating system that allows the user to run several applications at the same time however only one application is active at a time for user interaction although some applications can run behind the scene
what do you mean by impact of signed numbers on the memory,sign of the number is the first bit of the storage allocated for that number so you get one bit less for storing the number for example if you are storing an 8bit number without sign the range is 0255 if you decide to store sign you get 7 bits for the number plus one bit for the sign so the range is 128 to 127
how do you explain spanning tree,in the mathematical field of graph theory a spanning tree t of an undirected graph g is a subgraph that is a tree which includes all of the vertices of g with minimum possible number of edges
what do you mean by dynamic time wrapping,measure similarity between two sequences which may vary in time or speed
what is newtonraphson division,an algorithm used for the fast computation of large integer powers of a number
what do you mean by an operating system,the operating system is a software program that facilitates computer hardware to communicate and operate with the computer software it is the most important part of a computer system without it computer is just like a box
what do you mean by the purpose of multitasking operating system,this operating system enables the user to simultaneously execute multiple tasks on a single processor the cpu in this case switches processes at a very fast pace and does it parallel
what is caching,caching is the processing of utilizing a region of fast memory for a limited data and process a cache memory is usually much efficient because of its high access speed
define data structure,a data structure is a way of organizing data that considers not only the items stored but also their relationship to each other advance knowledge about the relationship between data items allows designing of efficient algorithms for the manipulation of data
what is spooling,spooling is normally associated with printing when different applications want to send an output to the printer at the same time spooling takes all of these print jobs into a disk file and queues them accordingly to the printer
how do you explain the concept of reentrancy,it is a very useful memory saving technique that is used for multiprogrammed time sharing systems it provides functionality that multiple users can share a single copy of program during the same period it has two key aspectstthey are the program code cannot modify itselfthe local data for each user process must be stored separately
what is chans algorithm,is an optimal outputsensitive algorithm to compute the convex hull of a set points in 2 or 3dimensional space
how do you explain triangularisation,a triangulation is a subdivision of a planar object into triangles and by extension the subdivision of a higherdimension geometric object into simplices
how do you explain sweep line algorithm,plane sweep algorithm is an algorithmic paradigm that uses a conceptual sweep line or sweep surface to solve various problems in euclidean space
what is kernel,kernel is the core and essential part of computer operating system that provides basic services for all parts of os
how do you explain busy waiting,the repeated execution of a loop of code while waiting for an event to occur is called busywaiting the cpu is not engaged in any real productive activity during this period and the process does not progress toward completion
how do you explain process synchronization,a situation where several processes access and manipulate the same data concurrently and the outcome of the execution depends on the particular order in which the access takes place is called race condition to guard against the race condition we need to ensure that only one process at a time can be manipulating the same data the technique we use for this is called process synchronization
what do you mean by metaphone,an algorithm for indexing words by their sound when pronounced in english
what is thrashing,thrashing occurs when the processor is spending most of its time in swapping pages instead of executing the instructions
what do you mean by lexicographic breadth search,a linear time algorithm for ordering the vertices of a graph
what do you mean by predictive search,binarylike search which factors in magnitude of search term versus the high and low values in the search sometimes called dictionary search or interpolated search
write the importance of hashing,maps key with the corresponding value using hash function hash tables support the efficient addition of new entries and the time spent on searching for the required data is independent of the number of items stored
list out the advantages of using a linked list,it is not necessary to specify the number of elements in a linked list during its declaration linked list can grow and shrink in size depending upon the insertion and deletion that occurs in the list insertions and deletions at any place in a list can be handled easily and efficientlya linked list does not waste any memory space
while implementing the bubble sort algorithm how many comparisons will performed in pass 1,n 1 comparisons
how do you assign an address to an element of a pointer array,we can assign a memory address to an element of a pointer array by using the address operator which is the ampersand in an assignment statement such as ptemployee0 projects2
what are turnaround time and response time,turnaround time is the interval between the submission of a job and its completion response time is the interval between submission of a request and the first response to that request
what is comparison sort,a comparison sort is a type of sorting algorithm that only reads the list elements through a single abstract comparison operation often a less than or equal to operator or a threeway comparison that determines which of two elements should occur first in the final sorted list
how do you explain cache memory,cache memory is random access memory ram that a computer microprocessor can access more quickly than it can access regular ram as the microprocessor processes data it looks first in the cache memory and if it finds the data there from a previous reading of data it does not have to do the more timeconsuming reading of data from larger memory
what is schreiersims algorithms,computing a base and strong generating set bsgs of a permutation group
how do you explain schensted algorithm,constructs a pair of young tableaux from a permutation
how does swapping result in better memory management,during regular intervals that are set by the operating system processes can be copied from main memory to a backing store and then copied back later swapping allows more processes to be run that can fit into memory at one time
define bogosort,it is a highly ineffective sorting algorithm based on the generate and test paradigm the function successively generates permutations of its input until it finds one that is sorted it is not useful for sorting but may be used for educational purposes to contrast it with more efficient algorithms
what is spooling,spooling is a process in which data is temporarily gathered to be used and executed by a device program or the system it is associated with printing when different applications send output to the printer at the same time spooling keeps these all jobs into a disk file and queues them accordingly to the printer
how do you explain the difference between array and stack,stack follows lifo thus the item that is first entered would be the last removedin array the items can be entered or removed in any order basically each member access is done using index no strict order is to be followed here to remove a particular elementarray may be multidiamensional or onediamensional but stack should be onediamensional but both are linear data structure
what is quantum algorithm,the term is usually used for those algorithms which seem inherently quantum
what do you mean by rabinkarp string search algorithms,amortized linear sublinear in most times algorithm for substring search
define rabinkarp string search algorithms,amortized linear sublinear in most times algorithm for substring search
define maxcliquedyn maximum clique algorithm,the maxcliquedyn algorithm is an algorithm for finding a maximum clique in an undirected graph
what is modular square root,computing square roots modulo a prime number
what do you mean by borweins algorithm,an algorithm to calculate the value of 1p
how do you explain smp,smp is short for symmetric multiprocessing and is the most common type of multipleprocessor systems in this system each processor runs an identical copy of the operating system and these copies communicate with one another as needed
give some simple example of algorithm,one of the simplest algorithms is to find the largest number in a list of numbers of random order
what is strongly connected components,in the mathematical theory of directed graphs a graph is said to be strongly connected or diconnected if every vertex is reachable from every other vertex
define the purpose of an io status information,io status information provides information about which io devices are to be allocated for a particular process it also shows which files are opened and other io device state
define graph exploration algorithm,in computer science graph traversal also known as graph search refers to the process of visiting checking andor updating each vertex in a graph such traversals are classified by the order in which the vertices are visited
define modular method,in this method modulus operation is applied on each key this involves dividing the key value by the size of the hash table to obtain the remainder of the division the remainder is considered as the address of the record corresponding to the key value
what do you mean by an idle thread,the special thread a dispatcher will execute when no ready thread is found
how do you explain average case performance of binary search,the average case performance of binary search is olog n
what is incremental heuristic search algorithm,incremental heuristic search algorithms combine both incremental and heuristic search to speed up searches of sequences of similar search problems which is important in domains that are only incompletely known or change dynamically
define meant by strongly connected in a graph,an undirected graph is connected if there is a path from every vertex to every other vertex a directed graph with this property is called strongly connected
what do you mean by the worst case scenario for bubble sort and why,the worst situation for bubble sort is when the lists smallest element is in the last position in this situation the smallest element will move down one place on each pass through the list meaning that the sort will need to make the maximum number of passes through the list namely n 1
what do you mean by disjoint set adt,a collection of nonempty disjoint sets ss1 s2 sk ieeach si is a nonempty set that has no element in common with any other sj in mathematical notation this is sisj each set is identified by a unique element called its representative
define online algorithm,an online algorithm is one that can process its input piecebypiece in a serial fashion ie in the order that the input is fed to the algorithm without having the entire input available from the beginning
define bubble sort,for each pair of indices swap the items if out of order
how do you explain tree sort,build binary tree then traverse it to create sorted list
what is borweins algorithm,an algorithm to calculate the value of 1p
what are steps for in order traversing a binary tree,the steps for in order traversing a binary tree are as follows traverse the left subtreevisit the root traverse the right subtree
what are local and global page replacements,local replacement means that an incoming page is brought in only to the relevant process address space global replacement policy allows any page frame from any process to be replaced the latter is applicable to variable partitions model only
what do you mean by asymmetric clustering,in asymmetric clustering a machine is in a state known as hot standby mode where it does nothing but to monitor the active server that machine takes the active servers role should the server fails
what do you mean by reversedelete algorithm,the reversedelete algorithm is an algorithm in graph theory used to obtain a minimum spanning tree from a given connected edgeweighted graph
define nth root algorithm,the principal root of a positive real number a is the positive real solution of the equation
what is direct access method,direct access method is based on a disk model of a file such that it is viewed as a numbered sequence of blocks or records it allows arbitrary blocks to be read or written direct access is
what do you mean by a priority queue,the priority queue is a data structure in which the intrinsic ordering of the elements numeric or alphabetic determines the result of its basic operation it is of two typesthey are ascending priority queue here smallest item can be removed insertion is arbitrarydescending priority queue here largest item can be removed insertion is arbitrary
what are the reasons for process suspension,swappinginteractive user requesttimingparent process request
how do you define singlylinked list,singly linked lists contain nodes which have a data field as well as a next field which points to the next node in the linked list a singly linked list whose nodes contain two fields an integer value and a link to the next node
define asymmetric clustering,in asymmetric clustering a machine is in a state known as hot standby mode where it does nothing but to monitor the active server that machine takes the active servers role should the server fails
what do you mean by the use of threaded binary tree,in threaded binary tree the null pointers are replaced by some addresses the left pointer of the node points to its predecessor and the right pointer of the node points to its successor
how do you explain preemptive multitasking,preemptive multitasking allows an operating system to switch between software programs this in turn allows multiple programs to run without necessarily taking complete control over the processor and resulting in system crashes
define the purpose of multiprogramming operating system,this acts to be an extension of batch os where main memory can have several jobs at once and they would be executed in a particular order at a particular time
when does trashing occur,thrashing specifies an instance of high paging activity this happens when it is spending more time paging instead of executing
define scsi,scsi small computer systems interface is a type of interface used for computer components such as hard drives optical drives scanners and tape drives it is a competing technology to standard ide integrated drive electronics
what is sorting algorithm,a sorting algorithm is an algorithm that puts elements of a list in a certain order
what is geometric hashing,a method for efficiently finding twodimensional objects represented by discrete points that have undergone an affine transformation
how do you define singlylinked list,singly linked lists contain nodes which have a data field as well as a next field which points to the next node in the linked list a singly linked list whose nodes contain two fields an integer value and a link to the next node
is nonpreemptive scheduling frequently used in a computer why,no it is rarely used for the reasons mentioned as that it can not ensure that each user gets a share of cpu regularly the idle time with this increases reducing the efficiency and overall performance of the system it allows program to run indefinitely which means that other processes have to wait for very long
